mRNA	lncRNA	pcc	adjp
ENSMUSG00000023349.14	ENSMUSG00000109805.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000110208.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000110236.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000110984.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000111682.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000112026.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000112634.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000112828.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000113321.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000113877.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000114400.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000115614.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000116091.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023349.14	ENSMUSG00000116819.1	0.997728124172	5.99438518954e-05
ENSMUSG00000023367.14	ENSMUSG00000056332.4	0.995936561725	0.00110968269541
ENSMUSG00000023367.14	ENSMUSG00000105820.1	0.994627815478	0.0041318821434
ENSMUSG00000023367.14	ENSMUSG00000109772.1	0.995900161032	0.00115827786715
ENSMUSG00000023452.19	ENSMUSG00000105161.1	0.993646675465	0.00886078735708
ENSMUSG00000023505.13	ENSMUSG00000102215.1	0.995335274208	0.00214013362165
ENSMUSG00000023572.16	ENSMUSG00000115234.1	0.995507163148	0.00179236642427
ENSMUSG00000023827.8	ENSMUSG00000108643.1	0.994808160816	0.00352880943121
ENSMUSG00000023830.13	ENSMUSG00000114200.1	0.993663334506	0.00875696939476
ENSMUSG00000023868.16	ENSMUSG00000105704.1	0.995992107981	0.00103853659258
ENSMUSG00000023908.7	ENSMUSG00000073415.4	0.994817010271	0.00350102696721
ENSMUSG00000023911.12	ENSMUSG00000110924.1	0.996352160653	0.000657700376839
ENSMUSG00000023918.12	ENSMUSG00000101778.1	0.995061570967	0.00279613141657
ENSMUSG00000023919.7	ENSMUSG00000102607.1	0.997167669127	0.000186605985156
ENSMUSG00000023944.14	ENSMUSG00000029360.3	0.995535272999	0.00173984102065
ENSMUSG00000023952.13	ENSMUSG00000086350.1	0.995393403264	0.00201728701387
ENSMUSG00000023952.13	ENSMUSG00000110767.1	0.999206045794	1.63886781143e-07
ENSMUSG00000023953.8	ENSMUSG00000115314.1	0.998839300944	1.51663397382e-06
ENSMUSG00000023960.13	ENSMUSG00000106758.1	0.994627785755	0.00413198749167
ENSMUSG00000023961.16	ENSMUSG00000105966.1	0.996347975426	0.000661396002317
ENSMUSG00000023961.16	ENSMUSG00000113894.1	0.994091171679	0.00638683643467
ENSMUSG00000023965.13	ENSMUSG00000085735.1	0.994189933361	0.00591573156375
ENSMUSG00000023966.8	ENSMUSG00000111094.1	0.998298287557	1.28278574171e-05
ENSMUSG00000024002.17	ENSMUSG00000103701.1	0.994359520707	0.00516785504081
ENSMUSG00000024002.17	ENSMUSG00000104587.1	0.996025941626	0.00099693733958
ENSMUSG00000024012.17	ENSMUSG00000103834.1	0.995196123964	0.00245713061223
ENSMUSG00000024018.17	ENSMUSG00000102880.1	0.994777532931	0.0036262434159
ENSMUSG00000024026.12	ENSMUSG00000115570.1	0.997782587937	5.27878385231e-05
ENSMUSG00000024030.6	ENSMUSG00000085829.1	0.995326885606	0.00215831745509
ENSMUSG00000024030.6	ENSMUSG00000097971.3	0.994566311907	0.0043542120726
ENSMUSG00000024037.12	ENSMUSG00000107913.1	0.995429745344	0.00194324008699
ENSMUSG00000024045.5	ENSMUSG00000113459.1	0.993629925924	0.00896608679082
ENSMUSG00000024065.7	ENSMUSG00000103959.2	0.99548136323	0.00184162362285
ENSMUSG00000024066.8	ENSMUSG00000085408.1	0.993874073196	0.00752012668371
ENSMUSG00000024068.7	ENSMUSG00000106596.1	0.996042861057	0.000976616885587
ENSMUSG00000024074.7	ENSMUSG00000108456.1	0.996045916451	0.000972981220938
ENSMUSG00000024078.6	ENSMUSG00000097595.2	0.994601701179	0.00422521768169
ENSMUSG00000024087.3	ENSMUSG00000112346.1	0.996034099783	0.000987099485696
ENSMUSG00000024091.8	ENSMUSG00000102800.1	0.996077295542	0.000936236537434
ENSMUSG00000024096.16	ENSMUSG00000113571.1	0.997907059244	3.89348718467e-05
ENSMUSG00000024098.5	ENSMUSG00000086448.1	0.993785189573	0.00802477848204
ENSMUSG00000024098.5	ENSMUSG00000111229.1	0.995020558538	0.00290613575733
ENSMUSG00000024099.14	ENSMUSG00000111229.1	0.994656173609	0.00403228555951
ENSMUSG00000024101.14	ENSMUSG00000090965.1	0.997678694777	6.70752823959e-05
ENSMUSG00000024120.12	ENSMUSG00000106391.1	0.998365309178	1.03027935767e-05
ENSMUSG00000024121.13	ENSMUSG00000116946.1	0.994707173712	0.00385770862808
ENSMUSG00000024127.14	ENSMUSG00000104125.1	0.998963790148	7.88840398035e-07
